# Add info here for slot controlled events
# format: [CID],[CTOT]
1695553,1130
1817578,1132
1700471,1134
1961363,1136
1688551,1138
1555825,1140
1886571,1142
1900303,1144
1853334,1146
1854924,1148
1228052,1150
1849289"1152
1864582,1154
1906375,1156
1595444,1158
1284191,1202
1722037,1204
1515849,1206
1569064,1208
1868931,1210
1868512,1212
1941802,1214
1728775,1216
1975296,1218
1860093,1220
1265837,1222
1925301,1224
1950090,1226
1633148,1228
1567015,1230
1983930,1232
1697486,1234
1702588,1236
1634671,1238
1920961,1240
1962531,1242
1966385,1244
1693962,1248
1447332,1250
1711944,1252
1823735,1254
1484792,1258
1529875,1300
1611189,1302
1353694,1304
2001015,1330
1362245,1332
1836629,1400
1683089,1402
1359980,1416
1813052,1424
1983128,1426
1715728,1428
1836629,1430
